"ScanNumber, ScanName, ScanPointNumber, PCCRates per bx, PCCRateErr per bx"
Scan_1
"[('41', 0.13723250918703828), ('281', 0.12532543207365762), ('872', 0.1062861795982651), ('1783', 0.12146247100569084), ('2063', 0.13343071596760625)]"
3,Y2,20
"[('41', 2.907334942168466), ('281', 2.0792768535436101), ('872', 2.0509898943279392), ('1783', 1.795346377578001), ('2063', 2.318207169782291)]"
"[('41', 0.12510947143209381), ('281', 0.10355721800646876), ('872', 0.10940855181939606), ('1783', 0.094717937296635066), ('2063', 0.11837381745170181)]"
3,Y2,21
"[('41', 1.301560382962305), ('281', 0.96741852387064342), ('872', 0.85550450482788332), ('1783', 0.97347332525687624), ('2063', 1.0320962168469237)]"
"[('41', 0.07370426531371449), ('281', 0.10276347102078903), ('872', 0.085880243836667522), ('1783', 0.12737524000348921), ('2063', 0.10130800621834558)]"
3,Y2,22
"[('41', 0.82229422453826106), ('281', 0.55493047140961282), ('872', 0.61254903468963928), ('1783', 0.57868879253155914), ('2063', 0.56734976487445543)]"
"[('41', 0.083192319840753759), ('281', 0.062283990985191516), ('872', 0.1096140504189142), ('1783', 0.072459891915937324), ('2063', 0.055553997596683724)]"
3,Y2,23
"[('41', 0.44137652548456568), ('281', 0.41607654128185106), ('872', 0.47210208000574289), ('1783', 0.45524048815506102), ('2063', 0.34946777001920692)]"
"[('41', 0.049216451046149343), ('281', 0.056599821621468566), ('872', 0.063357273593956293), ('1783', 0.071371061193121699), ('2063', 0.037398554821282418)]"
3,Y2,24
"[('41', 0.53589375448671928), ('281', 0.29404320627541086), ('872', 0.35772423385830304), ('1783', 0.38461745544607762), ('2063', 0.44863394844546567)]"
"[('41', 0.081179377087993901), ('281', 0.037378051678535119), ('872', 0.054357685472618121), ('1783', 0.068509388429170578), ('2063', 0.070393318056331325)]"
3,Y2,25
"[('41', 0.39869163742742536), ('281', 0.43383593609764853), ('872', 0.32080517639034722), ('1783', 0.46733307610168429), ('2063', 0.39751575092890096)]"
"[('41', 0.067283199688114706), ('281', 0.069394690051462454), ('872', 0.044746902547580326), ('1783', 0.076162719445325794), ('2063', 0.060406660878178538)]"
Scan_4
4,X2,1
"[('41', 0.36087580760947596), ('281', 0.48154762973200982), ('872', 0.33323761665470208), ('1783', 0.32572997613108162), ('2063', 0.36134845982623681)]"
"[('41', 0.066749389300606088), ('281', 0.1079257781100352), ('872', 0.040770984907641535), ('1783', 0.042898414399801299), ('2063', 0.06386132739378525)]"
4,X2,2
"[('41', 0.51509794596146774), ('281', 0.53185836736525605), ('872', 0.43935355928249031), ('1783', 0.48698804695071612), ('2063', 0.53483821747520532)]"
"[('41', 0.080119291849040278), ('281', 0.093077182107463907), ('872', 0.071944563447368159), ('1783', 0.080621671791635097), ('2063', 0.1088086331537437)]"
4,X2,3
"[('41', 0.4653764039728952), ('281', 0.55552151226486923), ('872', 0.54883176919435239), ('1783', 0.5854754411860269), ('2063', 0.43059682091658619)]"
"[('41', 0.060857170929330892), ('281', 0.076378660093250769), ('872', 0.072662150109874424), ('1783', 0.087610242812575498), ('2063', 0.06008945613292286)]"
4,X2,4
"[('41', 0.7784966305645038), ('281', 0.62224117039895888), ('872', 0.75563332884641266), ('1783', 0.59386749701630492), ('2063', 0.73109130563558522)]"
"[('41', 0.066805303980882608), ('281', 0.065548830537645472), ('872', 0.10559984639072371), ('1783', 0.069425547910930932), ('2063', 0.075467661809662662)]"
4,X2,5
"[('41', 1.3476912794043927), ('281', 1.1634574319933153), ('872', 1.192271275805733), ('1783', 1.2931882739542915), ('2063', 1.3444040036396725)]"
"[('41', 0.087694193022740063), ('281', 0.070557684202405754), ('872', 0.089028641223130131), ('1783', 0.098539659999932486), ('2063', 0.12066061438952622)]"
4,X2,6
"[('41', 3.0416378761093714), ('281', 2.709245447283628), ('872', 2.5273043821626326), ('1783', 2.4736587072980321), ('2063', 2.8818708936200768)]"
"[('41', 0.10579862423289686), ('281', 0.10999578851428715), ('872', 0.10128755682569936), ('1783', 0.10146382257843642), ('2063', 0.11228174609832053)]"
4,X2,7
"[('41', 6.0233407516421984), ('281', 5.7173950115332488), ('872', 5.2239462277781268), ('1783', 5.108225496706571), ('2063', 6.047057028487318)]"
"[('41', 0.13981567666261446), ('281', 0.14944210115610423), ('872', 0.11945904242124586), ('1783', 0.1233046657320612), ('2063', 0.14925088610777526)]"
4,X2,8
"[('41', 11.362650725431406), ('281', 11.565557711770769), ('872', 11.057008382766591), ('1783', 10.704570770830239), ('2063', 12.855135978310322)]"
"[('41', 0.18052054512860571), ('281', 0.18447019208686052), ('872', 0.17852136071139807), ('1783', 0.16790036611040526), ('2063', 0.18821775985742645)]"
4,X2,9
"[('41', 19.847382337387625), ('281', 21.315408360499667), ('872', 19.659238179475839), ('1783', 20.279058140317478), ('2063', 23.819446848614238)]"
"[('41', 0.23894282109020046), ('281', 0.24876241199911672), ('872', 0.23569724522536553), ('1783', 0.24426617778737164), ('2063', 0.26352398983158215)]"
4,X2,10
"[('41', 31.032330719118466), ('281', 34.5647584684151), ('872', 31.588679787129024), ('1783', 32.518782081194587), ('2063', 38.51133150832473)]"
"[('41', 0.28679769907396929), ('281', 0.29729987100346311), ('872', 0.28147148699477254), ('1783', 0.282585368855585), ('2063', 0.30575448908647845)]"
4,X2,11
"[('41', 42.360431086139073), ('281', 47.514574322094255), ('872', 43.740180114460394), ('1783', 46.144322287064057), ('2063', 53.86900822498415)]"
"[('41', 0.32224299590892985), ('281', 0.34551917200276316), ('872', 0.32213755655544241), ('1783', 0.33863866829982808), ('2063', 0.36292994521676719)]"
4,X2,12
"[('41', 51.421152758957973), ('281', 58.797402457522914), ('872', 53.280054558996405), ('1783', 56.332498833494853), ('2063', 65.293403338718363)]"
"[('41', 0.36543763687837677), ('281', 0.39010505896129216), ('872', 0.35921793993891027), ('1783', 0.37963030862764946), ('2063', 0.40115247027197592)]"
4,X2,13
"[('41', 54.51598419367555), ('281', 61.695482431678748), ('872', 56.673178610571654), ('1783', 60.372254913272563), ('2063', 70.368436742701078)]"
