"ScanNumber, ScanName, ScanPointNumber, PCCRates per bx, PCCRateErr per bx"
Scan_1
"[('41', 0.00033752928562919427), ('281', 0.0001886230517224263), ('872', 0.00017903322060871296), ('1783', 0.00012899640794617872), ('2063', 0.00023788520056695973)]"
"[('41', 5.7876025029586801e-05), ('281', 4.3269014491640379e-05), ('872', 4.2194757144480802e-05), ('1783', 3.5774858762649838e-05), ('2063', 4.8552337257279936e-05)]"
2,Y1,24
"[('41', 4.1041636740473209e-05), ('281', 7.173968741993338e-05), ('872', 5.1267328356984658e-05), ('1783', 5.1265225772054302e-05), ('2063', 4.1037426132632958e-05)]"
"[('41', 2.0520397261929238e-05), ('281', 2.7114080519358791e-05), ('872', 2.2926858524213686e-05), ('1783', 2.2925918267853979e-05), ('2063', 2.0518292044411121e-05)]"
2,Y1,25
"[('41', 4.1043742368429154e-05), ('281', 3.0760712418099601e-05), ('872', 1.0246951531919253e-05), ('1783', 1.0269576379974327e-05), ('2063', 1.0255148084338338e-05)]"
"[('41', 2.0521450032696224e-05), ('281', 1.7759432442355641e-05), ('872', 1.0246899031776913e-05), ('1783', 1.0269523647739429e-05), ('2063', 1.0255095500172407e-05)]"
Scan_3
3,Y2,1
"[('41', 4.1242640766288264e-05), ('281', 0.0), ('872', 0.0), ('1783', 0.0), ('2063', 0.0)]"
"[('41', 2.0620895139905198e-05), ('281', 0.0), ('872', 0.0), ('1783', 0.0), ('2063', 0.0)]"
3,Y2,2
"[('41', 0.00015385720000410285), ('281', 6.1355966867777896e-05), ('872', 5.1335229314469346e-05), ('1783', 5.1306257311141666e-05), ('2063', 7.1834657143443547e-05)]"
"[('41', 3.9722702056144593e-05), ('281', 2.5047700135236095e-05), ('872', 2.2957223197691832e-05), ('1783', 2.2944267188873751e-05), ('2063', 2.7149973123974187e-05)]"
3,Y2,3
"[('41', 0.00031832090854948351), ('281', 0.00012301510010353771), ('872', 0.00021542659595203168), ('1783', 0.00016407732143772753), ('2063', 0.00019450074729234485)]"
"[('41', 5.7163022656152522e-05), ('281', 3.5509216293157459e-05), ('872', 4.7004873401255344e-05), ('1783', 4.1015965050457217e-05), ('2063', 4.4617192006789981e-05)]"
3,Y2,4
"[('41', 0.00098513068374226514), ('281', 0.00047126801831798298), ('872', 0.00049248953459738983), ('1783', 0.00030767021854841191), ('2063', 0.00065707069670027304)]"
"[('41', 0.00010049494245136653), ('281', 6.9468303611209639e-05), ('872', 7.1067234941933274e-05), ('1783', 5.6163997668238175e-05), ('2063', 8.2106848784721032e-05)]"
3,Y2,5
"[('41', 0.0029226272881095216), ('281', 0.0017743043803780396), ('872', 0.0016099922064071537), ('1783', 0.0016422720834274218), ('2063', 0.0020218192267824338)]"
"[('41', 0.00017347559634142131), ('281', 0.00013477813597723265), ('872', 0.00012838788968766074), ('1783', 0.00012972635366435118), ('2063', 0.00014390296166750976)]"
3,Y2,6
"[('41', 0.0067069424534097893), ('281', 0.0051800184634321466), ('872', 0.0048102070747992332), ('1783', 0.0042448042160953955), ('2063', 0.0053725333086792606)]"
"[('41', 0.00026158276629024258), ('281', 0.00023127884258115919), ('872', 0.00022157987238631985), ('1783', 0.00020817749771929794), ('2063', 0.00023519163002217272)]"
3,Y2,7
"[('41', 0.015916947678734278), ('281', 0.012301296938461702), ('872', 0.012305994929081399), ('1783', 0.011267336405921457), ('2063', 0.014383983354918155)]"
"[('41', 0.00041002985081006179), ('281', 0.00036206954115142095), ('872', 0.00036096197728542964), ('1783', 0.00034591775337588902), ('2063', 0.00039112119194327337)]"
3,Y2,8
"[('41', 0.032121616894062274), ('281', 0.028429244533855685), ('872', 0.026845494930601312), ('1783', 0.025614601704098763), ('2063', 0.032349476231413377)]"
"[('41', 0.00058668499140916014), ('281', 0.0005490217832868526), ('872', 0.00053690126091045719), ('1783', 0.00052190438037598799), ('2063', 0.00058685165798253087)]"
3,Y2,9
"[('41', 0.057237707613879293), ('281', 0.055588585017835909), ('872', 0.051475480311575589), ('1783', 0.052868541423091914), ('2063', 0.063609027186239592)]"
"[('41', 0.00076556621411195827), ('281', 0.00075489676279230189), ('872', 0.00072508633051051534), ('1783', 0.00073659506572173637), ('2063', 0.00080546888594887887)]"
3,Y2,10
"[('41', 0.090853284223449973), ('281', 0.092018317607646685), ('872', 0.087017112409058309), ('1783', 0.088308087291399232), ('2063', 0.10715424246475325)]"
"[('41', 0.00096473583967714898), ('281', 0.00096992877269894368), ('872', 0.00094533615986673071), ('1783', 0.000957091393002844), ('2063', 0.0010540204550879373)]"
3,Y2,11
