"ScanNumber, ScanName, ScanPointNumber, PCCRates per bx, PCCRateErr per bx"
Scan_1
"[('41', 6.9617518388539015), ('281', 7.4818586581273019), ('872', 6.8960043840252272), ('1783', 7.120338054169431), ('2063', 8.3650779912680555)]"
"[('41', 0.088603917074564206), ('281', 0.092741296778901902), ('872', 0.086873468941298521), ('1783', 0.092008470143284143), ('2063', 0.098125592295065137)]"
4,X2,10
"[('41', 10.929407225283107), ('281', 12.159737555423915), ('872', 11.113435461145663), ('1783', 11.39804910441868), ('2063', 13.505721850738231)]"
"[('41', 0.10609333794555226), ('281', 0.10790106185865558), ('872', 0.10212468868621358), ('1783', 0.10004209611890615), ('2063', 0.10858834290757687)]"
4,X2,11
"[('41', 14.905558788026157), ('281', 16.739355880973473), ('872', 15.368453047790254), ('1783', 16.215793038766151), ('2063', 18.925271632924254)]"
"[('41', 0.11658378541447686), ('281', 0.12542725490839737), ('872', 0.11515995739630334), ('1783', 0.12280117210242755), ('2063', 0.13136612575211062)]"
4,X2,12
"[('41', 18.06486176045658), ('281', 20.660299964995108), ('872', 18.658001238345641), ('1783', 19.742570259502532), ('2063', 22.94456112008616)]"
"[('41', 0.13398467699807004), ('281', 0.14305761148144694), ('872', 0.12673069385670357), ('1783', 0.13709147822430637), ('2063', 0.143672329647305)]"
4,X2,13
