"ScanNumber, ScanName, ScanPointNumber, PCCRates per bx, PCCRateErr per bx"
Scan_1
"[('81', 0.13135507665800703), ('875', 0.11785014839790829), ('1610', 0.12605828117639142), ('1690', 0.11667395766732847), ('1730', 0.12728985799851941)]"
"[('81', 0.00093561549388469062), ('875', 0.00089064267875538195), ('1610', 0.00092182333018206246), ('1690', 0.00088821059554203329), ('1730', 0.00092488016283150576)]"
3,X2,13
"[('81', 0.095142440997604702), ('875', 0.08376070735865597), ('1610', 0.08809155668452151), ('1690', 0.086368876279622003), ('1730', 0.093092284647297172)]"
"[('81', 0.00080824633643052297), ('875', 0.00075896864160580316), ('1610', 0.00077794297149009475), ('1690', 0.00077131351238992761), ('1730', 0.0008016431516543489)]"
3,X2,14
"[('81', 0.060016286096922465), ('875', 0.050912933163735727), ('1610', 0.056645422670282858), ('1690', 0.055824001292128785), ('1730', 0.059563871315116437)]"
"[('81', 0.00063818781371873445), ('875', 0.00058663012604658299), ('1610', 0.00061879123143033263), ('1690', 0.00061370582162956059), ('1730', 0.00063275817839779239)]"
3,X2,15
"[('81', 0.033513498588360356), ('875', 0.027637809406794871), ('1610', 0.02990936764431805), ('1690', 0.032443999585821282), ('1730', 0.033504745470232959)]"
"[('81', 0.00048173481283738057), ('875', 0.00043662860007047367), ('1610', 0.00045617361451577256), ('1690', 0.00047452709983672914), ('1730', 0.00048265066889520441)]"
3,X2,16
"[('81', 0.017159857254284788), ('875', 0.013066707162184549), ('1610', 0.014156738773312718), ('1690', 0.016980272512666178), ('1730', 0.016525502702478826)]"
"[('81', 0.00034466989391962189), ('875', 0.00030058342395015189), ('1610', 0.00031205722008507286), ('1690', 0.00034237123857945389), ('1730', 0.00033749649785966816)]"
3,X2,17
"[('81', 0.0080237956098938266), ('875', 0.0057453151059107801), ('1610', 0.0058307889293804788), ('1690', 0.0077742831441197134), ('1730', 0.0073211248924812374)]"
"[('81', 0.00022973858311115019), ('875', 0.00019499945961344283), ('1610', 0.00019597915688727066), ('1690', 0.00022639257636445175), ('1730', 0.00022080196942113803)]"
3,X2,18
"[('81', 0.0032728354656352274), ('875', 0.0022458536723604134), ('1610', 0.0024794910667478996), ('1690', 0.003598906159230344), ('1730', 0.0028196354310570798)]"
"[('81', 0.00015300386868899278), ('875', 0.00012797430749906681), ('1610', 0.00013387793187872904), ('1690', 0.0001606426717632392), ('1730', 0.00014184560442559338)]"
3,X2,19
"[('81', 0.0015185504745470232), ('875', 0.00080765407554671969), ('1610', 0.00094568848883121181), ('1690', 0.0014495554696559723), ('1730', 0.0011044003451251079)]"
"[('81', 0.00010369063604335175), ('875', 7.4637486793078188e-05), ('1610', 8.2508506834608398e-05), ('1690', 0.0001027765593302714), ('1730', 8.7262287282237027e-05)]"
Scan_4
4,Y2,1
"[('81', 0.00028992710404241221), ('875', 0.00010354325001553149), ('1610', 0.00015875645379496948), ('1690', 0.00035894250017256852), ('1730', 0.00025539963139620768)]"
"[('81', 4.4730237734095966e-05), ('875', 2.6733368057427194e-05), ('1610', 3.3100381178384726e-05), ('1690', 4.9767434590897089e-05), ('1730', 4.3102079533792877e-05)]"
4,Y2,2
"[('81', 0.0012046814324267938), ('875', 0.00057204002934228859), ('1610', 0.00074702703430267381), ('1690', 0.0010902483343428226), ('1730', 0.0010162601626016261)]"
"[('81', 9.0489797468324958e-05), ('875', 6.2028703661933391e-05), ('1610', 7.1514344051117897e-05), ('1690', 8.5611291952996844e-05), ('1730', 8.3748823287339451e-05)]"
4,Y2,3
"[('81', 0.003981789577735392), ('875', 0.0020465984003118628), ('1610', 0.0025757586305317896), ('1690', 0.0038286438247455692), ('1730', 0.0032508440360586128)]"
"[('81', 0.00016673746183379275), ('875', 0.00011964355140159744), ('1610', 0.00013409663625499682), ('1690', 0.00016353480964228636), ('1730', 0.00015115125090528554)]"
4,Y2,4
"[('81', 0.010816444861670993), ('875', 0.0062884399008759639), ('1610', 0.0076201519889010829), ('1690', 0.0099881274504390084), ('1730', 0.0093256022640988475)]"
"[('81', 0.00027368362206529423), ('875', 0.00020974382771134735), ('1610', 0.00023033328693623719), ('1690', 0.00026325671064940349), ('1730', 0.00025384832340987287)]"
4,Y2,5
"[('81', 0.025277779647214799), ('875', 0.017491082845413553), ('1610', 0.019995019752737455), ('1690', 0.02303043355363224), ('1730', 0.022902715617323419)]"
"[('81', 0.00041404689539274774), ('875', 0.00034392109476940333), ('1610', 0.00036785785393278838), ('1690', 0.00039422529170726425), ('1730', 0.0003924933560995633)]"
4,Y2,6
"[('81', 0.049533039282682073), ('875', 0.038722769816946903), ('1610', 0.043195262187924931), ('1690', 0.044377105306753546), ('1730', 0.047298883105766708)]"
"[('81', 0.00058458728663106157), ('875', 0.00051638319394938295), ('1610', 0.00054671611743497964), ('1690', 0.00055572507566010608), ('1730', 0.00057248183924471583)]"
4,Y2,7
"[('81', 0.085747301520602989), ('875', 0.070714764087142654), ('1610', 0.077791784851349938), ('1690', 0.076433664692518805), ('1730', 0.082416824798586988)]"
"[('81', 0.00074889041774091271), ('875', 0.00068362366330058173), ('1610', 0.00071841915265874543), ('1690', 0.00070921576274079979), ('1730', 0.00073420750109321907)]"
4,Y2,8
"[('81', 0.12544090341195391), ('875', 0.11059265292599087), ('1610', 0.11663928655245248), ('1690', 0.10800176712593533), ('1730', 0.11642611114562409)]"
"[('81', 0.00093006865563281566), ('875', 0.00087032598332079905), ('1610', 0.0008963494297514618), ('1690', 0.00086399141901673606), ('1730', 0.00089864398387635915)]"
4,Y2,9
"[('81', 0.15430279351975207), ('875', 0.13996396844132447), ('1610', 0.14953200066265393), ('1690', 0.13466835097020025), ('1730', 0.14879547180230551)]"
"[('81', 0.0010351442303469891), ('875', 0.00098334643106273213), ('1610', 0.0010168626710176855), ('1690', 0.00096664413189372317), ('1730', 0.0010134239631376305)]"
4,Y2,10
"[('81', 0.16697635634229135), ('875', 0.15173142834631193), ('1610', 0.15940934697254211), ('1690', 0.14503611293499671), ('1730', 0.16054684422031359)]"
"[('81', 0.0010494005843497292), ('875', 0.00099738273402596631), ('1610', 0.0010247734697143801), ('1690', 0.00097860315429539719), ('1730', 0.001029692938642797)]"
4,Y2,11
"[('81', 0.15426883145571019), ('875', 0.13970567933957315), ('1610', 0.14826650837583949), ('1690', 0.13380364329152544), ('1730', 0.14740133781572934)]"
"[('81', 0.0010324675325743497), ('875', 0.00098423185524709571), ('1610', 0.0010142756276535706), ('1690', 0.00096105924560814071), ('1730', 0.0010121314041703572)]"
4,Y2,12
"[('81', 0.12308116802271978), ('875', 0.10871364826393329), ('1610', 0.11625668809099168), ('1690', 0.11029525585026551), ('1730', 0.11798040165832122)]"
"[('81', 0.00091103511580302226), ('875', 0.00085542840133402524), ('1610', 0.00088387664433130946), ('1690', 0.00086195710421185952), ('1730', 0.00089138449569813266)]"
4,Y2,13
"[('81', 0.083663821405121477), ('875', 0.072685966421315959), ('1610', 0.077366530751603727), ('1690', 0.075963413593176488), ('1730', 0.080121870342038048)]"
"[('81', 0.00074151944966905053), ('875', 0.00069138053314355449), ('1610', 0.00071268154784251978), ('1690', 0.00070408191497882302), ('1730', 0.00072747715812795423)]"
4,Y2,14
"[('81', 0.048901375782636008), ('875', 0.038956915473708914), ('1610', 0.042235827633095663), ('1690', 0.044839892041885543), ('1730', 0.047407366502843891)]"
"[('81', 0.00058164625337193011), ('875', 0.00052048215267482966), ('1610', 0.00054088446601983638), ('1690', 0.0005573991730977618), ('1730', 0.00057272849089146257)]"
4,Y2,15
"[('81', 0.024080816782539052), ('875', 0.017571960239317851), ('1610', 0.019753136273084584), ('1690', 0.024040758912646974), ('1730', 0.022464802002853529)]"
"[('81', 0.00040234476890842744), ('875', 0.00034363217294738701), ('1610', 0.00036361921733524553), ('1690', 0.00040247893391675025), ('1730', 0.00038760539774627587)]"
4,Y2,16
"[('81', 0.010869784690766405), ('875', 0.0067906801448319488), ('1610', 0.0081565629374394308), ('1690', 0.010074702200686453), ('1730', 0.0098462159706565258)]"
"[('81', 0.00027101889220792488), ('875', 0.00021390190701688004), ('1610', 0.0002344954116032297), ('1690', 0.00026133603916225876), ('1730', 0.00025721123467465279)]"
4,Y2,17
"[('81', 0.0039899216511924893), ('875', 0.0023055789488216696), ('1610', 0.0027610580374399468), ('1690', 0.0039140699424279656), ('1730', 0.0031062975004659448)]"
"[('81', 0.00016620185491285702), ('875', 0.00012601015233785527), ('1610', 0.0001378621840981379), ('1690', 0.00016405348304040506), ('1730', 0.00014717914775971326)]"
4,Y2,18
"[('81', 0.0012720077531901148), ('875', 0.00067972272696682149), ('1610', 0.0006191325414717857), ('1690', 0.0011643480660380532), ('1730', 0.00086821914120339212)]"
"[('81', 9.2466084470018062e-05), ('875', 6.761194882618563e-05), ('1610', 6.5917775174928396e-05), ('1690', 8.8472192971185515e-05), ('1730', 7.6409241378463569e-05)]"
4,Y2,19
"[('81', 0.00036201196688615065), ('875', 0.00010251363431336367), ('1610', 0.00022543909387147238), ('1690', 0.00027322217744414314), ('1730', 0.00027315314330979664)]"
"[('81', 4.9717166378986365e-05), ('875', 2.6467549816980761e-05), ('1610', 3.9239485216938814e-05), ('1690', 4.3194317367534454e-05), ('1730', 4.3183405094711332e-05)]"
