Scan,Type,BCID,sigma,sigmaErr,Amp,AmpErr,Mean,MeanErr,Const,ConstErr,CapSigma,CapSigmaErr,peak,peakErr,area,areaErr,fitStatus,chi2,ndof
6,Y,952,0.12601458497227075,0.0,0.01668681706380327,2.330115300690835e-05,-0.0028870496721962544,0.00015207600977870702,4.452789844525573e-05,1.8028808951744998e-06,0.12601458497227075,0.0,0.01668681706380327,2.330115300690835e-05,0.005270893635759704,7.360175318059342e-06,0,60.97059919344662,15
6,Y,992,0.12876888833547215,0.0,0.01601878476403096,2.800749985760928e-05,-0.003171607534525604,0.00017073444184958106,2.743045274253786e-05,2.4308697438848995e-06,0.12876888833547215,0.0,0.01601878476403096,2.800749985760928e-05,0.005170475048355033,9.04014139110859e-06,0,68.62524760908909,15
6,Y,1032,0.12726673409038425,0.0,0.016358733674470376,2.46019483946243e-05,-0.003043288049387862,0.0001673253180250116,2.9529905770210864e-05,2.229219358246826e-06,0.12726673409038425,0.0,0.016358733674470376,2.46019483946243e-05,0.005218606076320907,7.848277252773135e-06,0,75.58227938176535,15
6,Y,1072,0.12501092754832344,0.0,0.01699924507322138,2.8532206271087034e-05,-0.002783590103749423,0.00016217214485000092,4.298467618240986e-05,1.978587685501907e-06,0.12501092754832344,0.0,0.01699924507322138,2.8532206271087034e-05,0.005326814174938577,8.940735906356119e-06,0,23.915629030588384,15
6,Y,1112,0.12634418456427224,0.0,0.01643381717422248,2.670270220524796e-05,-0.003031548066615729,0.00016877135799450097,3.6128964667028194e-05,2.0477998691043066e-06,0.12634418456427224,0.0,0.01643381717422248,2.670270220524796e-05,0.005204555476211228,8.456689855960756e-06,0,26.60581738433254,15
6,Y,1152,0.1267007395259596,0.0,0.016368519231389652,2.6041662643486313e-05,-0.002810970399152277,0.0001699728144145379,3.565478565780267e-05,2.160599559192234e-06,0.1267007395259596,0.0,0.016368519231389652,2.6041662643486313e-05,0.005198505130805164,8.270614766865965e-06,0,48.6198516251101,15
6,Y,1783,0.12466913724284198,0.0,0.01686215727316515,2.8891624538965494e-05,-0.002935429306942578,0.00017053865626839916,3.4544807669081856e-05,2.0101190071461475e-06,0.12466913724284198,0.0,0.01686215727316515,2.8891624538965494e-05,0.005269410394865389,9.02860910403523e-06,0,56.62547507744386,15
6,Y,1823,0.1276851373365479,0.0,0.016251747012374418,2.5437845683890822e-05,-0.0028943434211863707,0.00016465166169656848,3.2227889786522465e-05,2.054561536067312e-06,0.1276851373365479,0.0,0.016251747012374418,2.5437845683890822e-05,0.005201520749181558,8.14161591602976e-06,0,48.60613270009123,15
6,Y,1863,0.1263287773670775,0.0,0.016484493965851246,2.603996035706319e-05,-0.003030322031408052,0.00014249923989634994,3.047592522420761e-05,2.0049893106754968e-06,0.1263287773670775,0.0,0.016484493965851246,2.603996035706319e-05,0.005219968076899467,8.245795234550792e-06,0,30.49138588413163,15
6,Y,1903,0.12460708640069458,0.0,0.016748253471231638,2.542171423979591e-05,-0.0031867297325411433,0.0001571072185287303,3.7565081395504185e-05,1.8821041604563661e-06,0.12460708640069458,0.0,0.016748253471231638,2.542171423979591e-05,0.005231210553192092,7.94031091300856e-06,0,38.828604140353484,15
6,Y,1943,0.12205361309533692,0.0,0.017540762730283026,3.056818608450895e-05,-0.0031360533080001616,0.00016820923589782057,3.7098656426845514e-05,1.947126151946311e-06,0.12205361309533692,0.0,0.017540762730283026,3.056818608450895e-05,0.00536647423162266,9.352123704789247e-06,0,46.63710532183611,15
6,Y,1983,0.1286734698083327,0.0,0.016231567962127887,2.749220713173608e-05,-0.0029135787867103705,0.00017887194615072007,2.7516639610317695e-05,2.261423681486073e-06,0.1286734698083327,0.0,0.016231567962127887,2.749220713173608e-05,0.005235274055222105,8.867241849548436e-06,0,26.710356992685483,15
6,Y,2023,0.12494924004349839,0.0,0.016910437938383583,2.9743021694346717e-05,-0.003376342094898529,0.00016467229173276459,3.264037707838729e-05,1.781506493884755e-06,0.12494924004349839,0.0,0.016910437938383583,2.9743021694346717e-05,0.005296371111825088,9.315553000715644e-06,0,32.56078953207723,15
6,Y,2063,0.12599030355469135,0.0,0.016643082134556036,2.2778574155888968e-05,-0.0031997755022596325,0.00014510891912229525,2.9656087677659148e-05,1.914822219623857e-06,0.12599030355469135,0.0,0.016643082134556036,2.2778574155888968e-05,0.00525606603568922,7.193721030409971e-06,0,54.030404743571445,15
6,Y,2654,0.12125576078404769,0.0,0.0180324654230765,2.6110474615174912e-05,-0.0030778922099258554,0.00015356071182310826,4.144020696048245e-05,1.8731442108560496e-06,0.12125576078404769,0.0,0.0180324654230765,2.6110474615174912e-05,0.00548084377390881,7.936099078567931e-06,0,47.19874817560809,15
6,Y,2694,0.12662312109860482,0.0,0.016826933875607204,2.6706559033129936e-05,-0.003184638808457912,0.0001644573357601758,3.990727642339265e-05,2.1126266208099104e-06,0.12662312109860482,0.0,0.016826933875607204,2.6706559033129936e-05,0.005340819939428949,8.476584269725113e-06,0,40.328600337209124,15
6,Y,2734,0.12446763505893353,0.0,0.017289998308710548,2.8526131628085392e-05,-0.0031047712797785424,0.0001533339672220229,3.4904316063331665e-05,2.063773307420801e-06,0.12446763505893353,0.0,0.017289998308710548,2.8526131628085392e-05,0.005394377345747066,8.899984573093855e-06,0,42.08840858062907,15
6,Y,2774,0.12289171894515154,0.0,0.017782675253173886,2.811521906265763e-05,-0.0030758102207083956,0.00014930661353958357,4.15081442652282e-05,1.8702773699119649e-06,0.12289171894515154,0.0,0.017782675253173886,2.811521906265763e-05,0.005477843880340185,8.6607205324359e-06,0,43.75071243023268,15
